epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,117237,1.25663,0.85685,1.03433,0.59449,0.50127,0.5227,0.32531,1.23713,0.87217,1.02942,0.00550257,0.00550257,0.00550257
161,117957,1.26582,0.86466,1.0352,0.5978,0.50037,0.52303,0.32568,1.23687,0.87174,1.02933,0.00547429,0.00547429,0.00547429
162,118695,1.26349,0.86771,1.03212,0.59866,0.49962,0.52327,0.32577,1.23669,0.87134,1.02923,0.005446,0.005446,0.005446
163,119420,1.26318,0.86142,1.03291,0.59948,0.499,0.52338,0.32593,1.23656,0.871,1.02913,0.00541771,0.00541771,0.00541771
164,120136,1.2623,0.86118,1.03434,0.59965,0.49786,0.52371,0.32591,1.23635,0.87065,1.02904,0.00538943,0.00538943,0.00538943
165,120846,1.26227,0.86159,1.03195,0.60193,0.49707,0.52396,0.32622,1.23619,0.87041,1.02892,0.00536114,0.00536114,0.00536114
166,121563,1.26385,0.8634,1.03508,0.60329,0.49647,0.52431,0.32649,1.23597,0.87021,1.0288,0.00533286,0.00533286,0.00533286
167,122290,1.2547,0.85627,1.0319,0.60328,0.49615,0.52463,0.32667,1.23579,0.86985,1.02868,0.00530457,0.00530457,0.00530457
168,123007,1.25753,0.85937,1.03191,0.59987,0.49815,0.52472,0.32684,1.23568,0.86963,1.02863,0.00527629,0.00527629,0.00527629
169,123718,1.25703,0.8578,1.03168,0.60006,0.49811,0.52482,0.32707,1.23555,0.86936,1.0285,0.005248,0.005248,0.005248
170,124442,1.25858,0.85591,1.02984,0.60042,0.49861,0.52498,0.32713,1.23549,0.86906,1.02849,0.00521971,0.00521971,0.00521971
171,125187,1.26161,0.85556,1.03331,0.60021,0.49892,0.52534,0.32738,1.23543,0.8687,1.02842,0.00519143,0.00519143,0.00519143
172,125935,1.26107,0.85654,1.03343,0.60092,0.49844,0.52561,0.32754,1.23538,0.86839,1.02836,0.00516314,0.00516314,0.00516314
173,126645,1.25618,0.85391,1.03269,0.60205,0.49858,0.52562,0.32755,1.23522,0.86808,1.02829,0.00513486,0.00513486,0.00513486
